Time,Support for Democrats,Support for Republicans,,,
1/1/2017,46.5,41,,Source: ,"Aggregated weighted data from the Congressional Generic Ballot polls conducted between January 2017 and March 2020, which ask representative samples of Americans to indicate which party they would support in an election. "
2/1/2017,45.8,43.62,,,Obtained from projects.fivethirtyeight.com/congress-generic-ballot-polls
3/1/2017,44.98,41.12,,,
4/1/2017,43.375,39.625,,,
5/1/2017,40.9037037,35.1962963,,,
6/1/2017,41.31904762,33.81428571,,,
7/1/2017,39.69565217,33.22934783,,,
8/1/2017,40.89367089,32.93670886,,,
9/1/2017,40.62,33.18266667,,,
10/1/2017,40.92650602,32.75421687,,,
11/1/2017,40.95974026,32.83506494,,,
12/1/2017,42.75125,32.35125,,,
1/1/2018,41.87634409,34.74516129,,,
2/1/2018,41.2525641,34.64102564,,,
3/1/2018,41.49767442,34.67325581,,,
4/1/2018,42.30952381,34.44404762,,,
5/1/2018,39.60930233,35.7627907,,,
6/1/2018,42.43655914,35.32150538,,,
7/1/2018,42.7,35.33617021,,,
8/1/2018,43.19553571,36.58482143,,,
9/1/2018,45.05448276,37.10689655,,,
10/1/2018,46.11058824,38.44117647,,,
11/1/2018,46.37407407,38.44259259,,,
12/1/2018,43.48695652,37.1826087,,,
1/1/2019,43.06315789,36.2,,,
2/1/2019,42.61891892,36.92162162,,,
3/1/2019,42.52,36.6675,,,
4/1/2019,42.08108108,35.94594595,,,
5/1/2019,41.94871795,36.56410256,,,
6/1/2019,42.92272727,36.74545455,,,
7/1/2019,42.75609756,36.34146341,,,
8/1/2019,42.83636364,36.51818182,,,
9/1/2019,43.20454545,37.02272727,,,
10/1/2019,44.23214286,38.16785714,,,
11/1/2019,46.90909091,39.54545455,,,
12/1/2019,48,41.28571429,,,
1/1/2020,46,40.71428571,,,
2/1/2020,47.55555556,40.77777778,,,
3/1/2020,47.08,38.35333333,,,
4/1/2020,43.75,35.7,,,
5/1/2020,47.43023256,41.17674419,,,
6/1/2020,48.20666667,41.28222222,,,
7/1/2020,48.25022727,41.44977273,,,
8/1/2020,48.92388889,41.81407407,,,
9/1/2020,49.2315625,43.1184375,,,
10/1/2020,50.13557143,42.78957143,,,
