team_name,team_size.coded,team_discipline.coded,team_discipline.missingdat,previous_tournament.coded,previous_tournament.missingdat
1859,1,2,2,0,0
4 chimps with a dart,4,4,4,0,0
5casters,5,4,4,0,0
A Woman Scientist,1,1,1,0,0
ab,1,2,2,0,0
AbCdEfG,1,2,2,0,0
Abracadabra,3,4,4,0,0
adamman,1,2,2,0,0
AhamBrahamasmi,1,1,1,0,0
Average Joes,3,1,1,0,0
BlackSwan,1,2,2,0,0
blue duiker,1,2,2,0,0
Bluebirds,2,4,4,0,0
Bordeaux,1,3,3,0,0
Broken Mirror Neurons,2,4,4,1,1
BRTWN,5,4,4,1,1
CantabRoyal,1,2,2,0,0
CarrNCUSA,1,2,2,0,0
Cascade Institute,1,2,2,0,0
CheeseCake,1,2,2,0,0
Comet,1,3,3,0,0
Compassionate Values,1,1,1,0,0
CoronaSky,1,2,2,0,0
CPMY,1,1,1,0,0
C-Team,2,2,2,1,1
Cynical Belief in the Inexorable Crush of the Wheel,1,2,2,0,0
datamodelers,2,1,1,0,0
Dog's Sense,1,3,3,0,0
Dragon,1,2,2,0,0
DrT,1,2,2,0,0
Duckling Power,1,2,2,0,0
Dutch East India Company,2,2,,1,
Erebuni,2,4,4,0,0
fearfulastra,1,3,3,0,0
FMTeam,2,4,4,1,1
Forecasting Team 1,1,2,2,0,0
ForecastSnorecast,1,2,2,0,0
ForeverJung90,7,2,2,0,0
Foxtrot,1,1,1,0,0
FrostNova,1,1,1,0,0
Goldensaber,1,2,2,0,0
Haifa_Team,1,1,1,0,0
Haku,1,2,2,0,0
Heather Shimmer,4,4,4,1,1
Heisenburg,1,3,3,0,0
HHH,1,3,3,0,0
Hi5,1,1,1,0,0
HSCNAC,1,2,2,0,0
Imielin,1,1,1,0,0
IPZ_predi,2,2,2,0,0
Junesix,1,2,2,0,0
King Octopus,1,2,2,0,0
Korrigan,1,2,2,0,0
Lady in Black,1,2,2,0,0
Little Bear,1,1,1,0,0
LoneGradStudent,1,2,2,0,0
LongerSquigglyLines,2,3,,1,
Lotus,1,2,2,0,0
md2000,1,2,2,0,0
Me Myself and I,1,2,2,0,0
meebe,1,2,2,0,0
MLTS,2,3,3,1,1
MORDEAUX Team,3,4,4,0,0
Motivation & Emotion,3,4,4,0,0
Mr Muddle,1,1,1,0,0
ms607,1,1,1,0,0
Nigel Mantou Lou,1,2,2,0,0
Northstar,1,2,2,0,0
Not a fortune teller,1,1,1,0,0
NotGreatWithNamesTeam,1,3,3,0,0
Nurni Flowenol,1,2,2,0,0
NYHC,1,2,2,0,0
Old Chickens,1,2,2,0,0
Otto,1,2,2,0,0
Patricia Arriaga,1,1,1,0,0
Platypus,1,1,1,0,0
Polarization Disciples,2,2,2,1,1
polarization-2020CO,1,1,1,0,0
Pythia,2,2,2,0,0
R4VST9,2,1,1,1,1
Renegade,1,1,1,0,0
RTTMT,1,4,4,0,0
savvy time traveler,1,2,2,0,0
scaled-humanity,1,3,3,0,0
SCREEN Team,4,1,1,0,0
Seaside,1,2,2,0,0
Skuld Forecasting Systems,1,4,4,0,0
Sociology,1,2,2,0,0
Spartacus,1,,,0,
Star Trek,1,1,1,0,0
StatFore,1,3,3,0,0
TAPE-Measurement,1,2,2,0,0
Team Apple,1,1,1,0,0
Team Blue Skies,4,4,,0,
Team CCS,3,4,4,1,1
Team Funemployed,4,4,4,0,0
Team IPA,1,2,2,0,0
Team Social Psychological Skill,2,2,,0,
Team Supreme Ignorance,1,3,3,0,0
Team29,1,3,3,0,0
Team42,1,4,4,0,0
teamGreenLake,3,4,4,1,1
TeamKL,1,2,2,0,0
That Well-being Researcher,1,1,1,0,0
The Bingo Jingoists,1,3,3,0,0
The Causal Lab,1,1,1,0,0
The Forecasting Four,4,1,1,0,0
The Frugal Few,3,4,4,1,1
The Nowcast,2,2,2,0,0
The Oracles of Delphi,3,4,4,0,0
The Star,1,1,1,0,0
The Well-Adjusted R Squares,3,2,,0,
TheMets,1,1,1,0,0
Tosbik,1,2,2,0,0
Turing Tesla Solutions,2,4,4,0,0
UhZettHa,1,1,1,0,0
Waterloo Purple Jackets,4,4,4,1,1
WeGen,1,1,1,0,0
Woodstock,1,1,1,0,0
WQXZ,2,3,,1,
