"","contrast","domain","ratio","SE","df","null","t.ratio","p.value"
"1","Benchmark 3 / MASE1_w2","eafric",3.37624131877768,0.418453051288544,649.445084718965,1,9.81731567813729,0.00000000000000000000263905729699101
"2","Benchmark 3 / MASE1_w2","easian",4.53900376706332,0.529116184319182,649.445084718996,1,12.9767062260846,0.000000000000000000000000000000000210376763185134
"3","Benchmark 3 / MASE1_w2","egend",0.742730324422122,0.0865808127519228,649.445084718996,1,-2.55142589966928,0.0109563458761086
"4","Benchmark 3 / MASE1_w2","iafric",2.68904722684992,0.307605236294163,649.445084718996,1,8.6473508389781,0.0000000000000000411251701095174
"5","Benchmark 3 / MASE1_w2","iasian",3.19856621109804,0.347113811420915,649.445084718996,1,10.7140116257234,0.000000000000000000000000892480260056913
"6","Benchmark 3 / MASE1_w2","ideoldem",0.784461422661274,0.0897360369397645,649.445084718996,1,-2.12215961747604,0.0342022217418705
"7","Benchmark 3 / MASE1_w2","ideolrep",1.3945875569359,0.159529528042799,649.445084718996,1,2.90753713696296,0.00376717001417091
"8","Benchmark 3 / MASE1_w2","igend",2.6635916808907,0.299202908311209,649.445084718996,1,8.7213571594073,0.0000000000000000229511909179589
"9","Benchmark 3 / MASE1_w2","lifesat",3.07665036400969,0.269635087268177,649.445084718996,1,12.8235062995364,0.00000000000000000000000000000000102391851335917
"10","Benchmark 3 / MASE1_w2","negaffect",1.13889257232585,0.111290751500871,649.445084718996,1,1.33093022748955,0.183679023426413
"11","Benchmark 3 / MASE1_w2","polar",0.506221017373184,0.0523793830612135,649.445084718996,1,-6.57942289268336,0.0000000000972945227605377
"12","Benchmark 3 / MASE1_w2","posaffect",1.10821206279849,0.108292701426001,649.445084718996,1,1.05147004269659,0.293433836213657
