date,Republicans,Independents,Democrats,
2020 Mar 13-22,92,43,13,
2020 Mar 2-13,91,35,7,
2020 Feb 17-28,92,42,8,
2020 Feb 3-16,93,43,6,
2020 Jan 16-29,94,42,7,
2020 Jan 2-15,88,37,10,
2019 Dec 2-15,89,42,8,
2019 Nov 1-14,90,38,4,
2019 Oct 14-31,89,34,7,
2019 Oct 1-13,87,34,5,
2019 Sep 16-30,87,36,5,
2019 Sep 3-15,91,38,5,
2019 Aug 15-30,88,34,3,
2019 Aug 1-14,88,37,4,
2019 Jul 15-31,88,38,7,
2019 Jul 1-12,90,38,6,
2019 Jun 19-30,90,34,5,
2019 Jun 3-16,89,37,6,
2019 May 15-30,87,33,8,
2019 May 1-12,90,33,9,
2019 Apr 17-30,91,37,12,
2019 Apr 1-9,89,39,8,
2019 Mar 1-10,90,33,4,
2019 Feb 12-28,90,35,6,
2019 Feb 1-10,89,38,5,
2019 Jan 21-27,88,32,5,
2019 Jan 2-10,88,31,6,
2018 Dec 17-22,89,39,8,
2018 Dec 10-16,86,37,7,
2018 Dec 3-9,89,38,7,
2018 Nov 26-Dec 2,89,39,6,
2018 Nov 19-25,86,34,9,
2018 Nov 12-18,90,37,6,
2018 Nov 5-11,91,34,5,
2018 Oct 29-Nov 4,88,39,6,
2018 Oct 22-28,89,37,6,
2018 Oct 15-21,91,39,8,
2018 Oct 8-14,88,36,9,
2018 Oct 1-7,86,39,7,
2018 Sep 24-30,87,37,6,
2018 Sep 17-23,87,34,8,
2018 Sep 10-16,88,33,6,
2018 Sep 3-9,85,36,8,
2018 Aug 27-Sep 2,85,36,9,
2018 Aug 20-26,85,35,10,
2018 Aug 13-19,87,39,7,
2018 Aug 6-12,82,34,7,
2018 Jul 30-Aug 5,89,33,7,
2018 Jul 23-29,87,34,8,
2018 Jul 16-22,85,37,11,
2018 Jul 9-15,90,38,8,
2018 Jul 2-8,87,36,9,
2018 Jun 25-Jul 1,87,36,10,
2018 Jun 18-24,87,38,5,
2018 Jun 11-17,90,42,10,
2018 Jun 4-10,90,35,8,
2018 May 28-Jun 3,87,34,11,
2018 May 21-27,85,35,8,
2018 May 14-20,89,38,9,
2018 May 7-13,84,35,12,
2018 Apr 30-May 6,88,37,13,
2018 Apr 23-29,89,35,9,
2018 Apr 16-22,82,32,10,
2018 Apr 9-15,85,33,7,
2018 Apr 2-8,89,35,8,
2018 Mar 26-Apr 1,86,33,8,
2018 Mar 19-25,85,34,7,
2018 Mar 12-18,82,32,7,
2018 Mar 5-11,87,34,8,
2018 Feb 26-Mar 4,85,34,8,
2018 Feb 19-25,85,35,9,
2018 Feb 12-18,86,30,6,
2018 Feb 5-11,86,36,7,
2018 Jan 29-Feb 4,90,33,6,
2018 Jan 22-28,87,33,7,
2018 Jan 15-21,81,31,5,
2018 Jan 8-14,81,35,5,
2018 Jan 1-7,87,32,5,
2017 Dec 25-31,82,34,9,
2017 Dec 18-24,80,33,7,
2017 Dec 11-17,77,31,7,
2017 Dec 4-10,82,32,5,
2017 Nov 27-Dec 3,78,32,7,
2017 Nov 20-26,81,34,7,
2017 Nov 13-19,81,34,8,
2017 Nov 6-12,82,33,8,
2017 Oct 30-Nov 5,83,35,6,
2017 Oct 23-29,78,33,7,
2017 Oct 16-22,80,33,8,
2017 Oct 9-15,79,33,8,
2017 Oct 2-8,81,33,9,
2017 Sep 25-Oct 1,80,31,7,
2017 Sep 18-24,82,35,8,
2017 Sep 11-17,81,35,9,
2017 Sep 4-10,80,31,9,
2017 Aug 28-Sep 3,79,32,8,
2017 Aug 21-27,78,30,7,
2017 Aug 14-20,79,31,8,
2017 Aug 7-13,79,29,7,
2017 Jul 31-Aug 6,82,30,7,
2017 Jul 24-30,82,32,7,
2017 Jul 17-23,86,31,8,
2017 Jul 10-16,87,33,8,
2017 Jul 3-9,85,35,8,
2017 Jun 26-Jul 2,85,36,8,
2017 Jun 19-25,85,34,6,
2017 Jun 12-18,84,32,6,
2017 Jun 5-11,83,31,8,
2017 May 29-Jun 4,82,34,7,
2017 May 22-28,87,37,8,
2017 May 15-21,84,31,7,
2017 May 8-14,84,35,8,
2017 May 1-7,84,40,9,
2017 Apr 24-30,87,36,12,
2017 Apr 17-23,86,36,9,
2017 Apr 10-16,87,36,10,
2017 Apr 3-9,87,34,6,
2017 Mar 27-Apr 2,81,36,6,
2017 Mar 20-26,84,33,8,
2017 Mar 13-19,86,35,10,
2017 Mar 6-12,88,36,9,
2017 Feb 27-Mar 5,88,39,10,
2017 Feb 20-26,88,38,10,
2017 Feb 13-19,86,37,7,
2017 Feb 6-12,87,35,11,
2017 Jan 30-Feb 5,86,41,8,
2017 Jan 20-29,89,42,13,
