domain,source,usual random walk,benchmark,SD,CI_L,CI_U,Wave,response,lower.CL,upper.CL,Type
eafric,Benchmark 2,3.3612426,4.228808013,1.948442779,4.190618535,4.266997492,First Tournament (May 2020),4.228808013,4.190618535,4.266997492,Random Walk
easian,Benchmark 2,2.0707939,5.931564087,2.478619824,5.882983138,5.980145035,First Tournament (May 2020),5.931564087,5.882983138,5.980145035,Random Walk
egend,Benchmark 2,1.227789,2.422971749,1.273462962,2.398011875,2.447931623,First Tournament (May 2020),2.422971749,2.398011875,2.447931623,Random Walk
iafric,Benchmark 2,4.669886,5.849237805,2.43206355,5.801569359,5.89690625,First Tournament (May 2020),5.849237805,5.801569359,5.89690625,Random Walk
iasian,Benchmark 2,0.8013945,3.465497155,1.826570795,3.429696367,3.501297942,First Tournament (May 2020),3.465497155,3.429696367,3.501297942,Random Walk
ideoldem,Benchmark 2,3.2011836,2.891345714,1.259057071,2.866668195,2.916023233,First Tournament (May 2020),2.891345714,2.866668195,2.916023233,Random Walk
ideolrep,Benchmark 2,7.0882359,5.439714219,2.516841275,5.39038413,5.489044308,First Tournament (May 2020),5.439714219,5.39038413,5.489044308,Random Walk
igend,Benchmark 2,2.3572133,3.371985703,1.811059871,3.336488929,3.407482476,First Tournament (May 2020),3.371985703,3.336488929,3.407482476,Random Walk
lifesat,Benchmark 2,1.232441,6.187854632,2.472971433,6.139384391,6.236324872,First Tournament (May 2020),6.187854632,6.139384391,6.236324872,Random Walk
negaffect,Benchmark 2,2.5915537,3.795795873,1.761426949,3.761271904,3.830319841,First Tournament (May 2020),3.795795873,3.761271904,3.830319841,Random Walk
polar,Benchmark 2,1.2791545,3.099940933,1.503064995,3.070480859,3.129401007,First Tournament (May 2020),3.099940933,3.070480859,3.129401007,Random Walk
posaffect,Benchmark 2,0.3691582,2.308020136,1.250659416,2.283507211,2.33253306,First Tournament (May 2020),2.308020136,2.283507211,2.33253306,Random Walk
,,correl=>,0.478425885,,,,,,,,
